ID,Timestamp,Avg_rating,Total_answers,Total_ratings,Answer,Num_options,Question,OptionA,OptionB,OptionC,OptionD,OptionE,Explanation,Tags
7397900,13/10/2025 12:52,3.18,12,11,A,5,"<p>int main(void) {<br />for (int i = 1; i &lt;= 5; i++) {<br />printf(""%d "", i);<br />}<br />return 0;<br />}</p>",<p>1 2 3 4 5</p>,<p>0 1 2 3 4 5</p>,<p>1 2 3 4</p>,<p>1 3 5</p>,<p>1 2 3&nbsp;</p>,"<p>The loop starts at 1 and continues while i &le; 5, printing each value and incrementing i by 1 each time.<br />Outputs: 1 2 3 4 5.<br /><br /></p>","Loops, printf function, For loops"
7397904,13/10/2025 12:55,3,3,3,A,4,"<p>If-else<br /><br />int main(void) {<br />for (int i = 1; i &lt;= 4; i++) {<br />if (i == 2)<br />printf(""Two "");<br />else if (i &gt; 2)<br />printf(""Greater "");<br />else<br />printf(""Small "");<br />}<br />return 0;<br />}</p>",<p>Small Two Greater Greater</p>,<p>Small Small Two Greater</p>,<p>Two Greater Greater Greater</p>,<p>Small Two Two Greater</p>,,<p>&bull; i = 1 - Small<br />&bull; i = 2 - Two<br />&bull; i = 3 - Greater<br />&bull; i = 4 - Greater<br />The loop tests each i and prints it accordingly.</p>,"Loops, printf function"
7397906,13/10/2025 12:56,3.78,11,9,D,5,"<p>int main(void) {<br />int nums[4] = {5, 10, 15, 20};<br />int sum = 0;</p><p>for (int i = 0; i &lt; 4; i++) {<br />sum = sum + nums[i];<br />}</p><p>printf(""Sum = %d"", sum);<br />return 0;<br />}</p>",<p>Sum = 10</p>,<p>Sum = 20</p>,<p>Sum = 40</p>,<p>Sum = 50</p>,<p>Sum = 30</p>,"<p>The program loops through all four elements of the array: 5 + 10 + 15 + 20 = 50.<br />Each element adds to the sum, which is then printed.</p>","Arrays, printf function, For loops, Indexing"
7397910,13/10/2025 13:02,3,9,7,C,5,"<p>void Increase(int *value) {<br />*value = *value + 5;<br />}</p><p>int main(void) {<br />int num = 10;<br />Increase(&amp;num);<br />printf(""Result = %d"", num);<br />return 0;<br />}</p>",<p>Result = 10</p>,<p>Result = 5</p>,<p>Result = 15</p>,<p>Result = 20</p>,<p>Result = 25</p>,"<p>The address of num is passed to the function, allowing it to modify the original variable directly. As *value refers to memory location of num. Any changes to *value will change num.<br />Inside Increase(), the value pointed to by value is increased by 5.<br />If the variable were passed by value (not by reference), the output would have remained 10.</p>","printf function, Pass by Reference, output formatting"
7397915,13/10/2025 13:08,4.25,5,4,E,5,"<p>What is the output of the following code?</p><p>&nbsp;</p><p>int a = 5;<br />int *p = &amp;a;</p><p><br />printf(""%d\n"", *p);</p><p><br />*p = 10;</p><p><br />printf(""%d\n"", a);</p>",<p>*p</p><p>a</p>,<p>10&nbsp;</p><p>5</p>,<p>a</p><p>*p</p>,<p>5&nbsp;</p><p>&nbsp;</p>,<p>5</p><p>10</p>,"<p>Initially, 'a' is set to a constant integer 5 and p is set to point to a. Therefore when you print&nbsp; *p it prints what p points to, printing 5. Then *p = 10; changes the value at address p to 10 and this value is printed so 10 is printed.</p>",pointers
7397919,13/10/2025 13:13,1.75,5,4,B,5,"<p><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">int main() {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">int i, j, count = 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">for (i = 1; ??? ; i++) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">for (j = 1; j &lt; i; j++) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">count += j;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span><br /><span style=""font-family: 'courier new', courier, monospace;"">printf(""%d"", count);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">What should replace the &lsquo;???&rsquo; to get the output equal to 4?</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">i&gt;=3</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">i&lt;=3</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">i&lt;3</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">i&lt;4</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">i&lt;=4</span></p>",,Loops
7397920,13/10/2025 13:12,3.86,17,14,B,4,"<p>What is the output of the following code?</p><p>&nbsp;</p><p>int main() {<br />&nbsp; &nbsp;int x = 10;<br />&nbsp; &nbsp;int y = 20;<br />&nbsp; &nbsp;int *p = &amp;x;&nbsp;<br />&nbsp; &nbsp; &nbsp; &nbsp;printf(""%d\n"", *p);</p><p>&nbsp; &nbsp;p = &amp;y;&nbsp;<br />&nbsp; &nbsp; &nbsp; &nbsp;printf(""%d\n"", *p);</p><p>return 0;<br />}</p>",<p>20&nbsp;</p><p>10</p><p>&nbsp;</p>,<p>10&nbsp;</p><p>20</p>,<p>x</p><p>y</p><p>&nbsp;</p>,<p>&amp;x</p><p>&amp;y</p>,,<p>P originally points to x and then the value pointed to by p is printed (10). Then the code changes p to point to y and prints the value pointed to by p (20)</p>,pointers
7397929,13/10/2025 13:27,3.5,5,4,A,5,"<p>What is the output of the following code?<br /><span style=""font-family: courier new, courier, monospace;"">int x = 5, y = 10;</span><br /><span style=""font-family: courier new, courier, monospace;"">int *p1 = &amp;x, *p2 = &amp;y;</span></p><p>&nbsp;</p><p><span style=""font-family: courier new, courier, monospace;"">*p1 = *p2;</span><br /><span style=""font-family: courier new, courier, monospace;"">p2 = p1;</span><br /><span style=""font-family: courier new, courier, monospace;"">*p2 = *p2 + y;</span></p><p>&nbsp;</p><p><span style=""font-family: courier new, courier, monospace;"">printf(""x = %d, y = %d\n"", x, y);</span></p>","<p>x = 20, y = 10</p>","<p>x = 10, y = 10</p>","<p>x = 15, y = 20</p>","<p>x = 10, y = 15</p>","<p>x = 20, y = 15</p>","<p>In this code, two integer variables x and y are initialized to 5 and 10, respectively.</p><p>Two pointers, p1 and p2, are assigned to point to x and y.</p><p>&nbsp;</p><p>The first operation *p1 = *p2 sets the value of x equal to the value of y, so x becomes 10.</p><p>Next, p2 = p1 redirects p2 to point to x instead of y. Now both p1 and p2 point to x.</p><p>&nbsp;</p><p>The final operation *p2 = *p2 + y updates the value at the location p2 points to (which is x) by adding its current value (10) to y (also 10), resulting in x = 20. Since y was never modified, it remains 10.</p><p>&nbsp;</p><p>Therefore, the output of the program is x = 20, y = 10.</p>","pointers, trick question"
7397933,13/10/2025 13:30,4.18,21,17,C,4,"<p>What is the output of this program?</p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">int main(void) {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; int a, b;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; int *p, *s;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; a = 10;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; b = 10;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; p = &amp;a;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; *p = 20;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; s = p;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; *s = b;</span></p><p>&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; printf(""a = %d, b = %d"", a, b);</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">a = 20, b = 10</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">a = 20, b = 20</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">a = 10, b = 10</span></p>","<p><span style=""font-family: 'courier new', courier, monospace;"">a = 10, b = 20</span></p>",,"<p><span style=""font-family: 'courier new', courier, monospace;"">p <span style=""font-family: arial, helvetica, sans-serif;"">and</span> s <span style=""font-family: arial, helvetica, sans-serif;"">are pointers:</span></span></p><ol><li><span style=""font-family: 'courier new', courier, monospace;"">p</span> points to <span style=""font-family: 'courier new', courier, monospace;"">a</span>, now having the memory address of <span style=""font-family: 'courier new', courier, monospace;"">a</span>.</li><li>The value <span style=""font-family: 'courier new', courier, monospace;"">p</span> points to changes to 20, so the value of <span style=""font-family: 'courier new', courier, monospace;"">a</span> changes to 20.</li><li><span style=""font-family: 'courier new', courier, monospace;"">s</span> copies the memory address of <span style=""font-family: 'courier new', courier, monospace;"">p</span> (which is the memory address of <span style=""font-family: 'courier new', courier, monospace;"">a</span>), and <span style=""font-family: 'courier new', courier, monospace;"">s</span> now points to <span style=""font-family: 'courier new', courier, monospace;"">a</span>.</li><li>The value <span style=""font-family: 'courier new', courier, monospace;"">s</span> points to changes to the value of <span style=""font-family: 'courier new', courier, monospace;"">b</span> (which is 10), changing the value of <span style=""font-family: 'courier new', courier, monospace;"">a</span> to 10.</li></ol>",pointers
7397937,13/10/2025 13:32,4.29,8,7,E,5,"<p>What would be the output of the following code:</p><p>Note 'A' in ASCII = 65.<br /><br />#define _CRT_SECURE_NO_WARNINGS<br />#include &lt;stdio.h&gt;</p><p>int main(void)<br />{<br />&nbsp; &nbsp; int x[2] = {5, 2, 3};<br />&nbsp; &nbsp; char c = 'A';</p><p>&nbsp;</p><p>&nbsp; &nbsp; printf(""%d"", x[2] + c);</p><p>&nbsp;</p><p>&nbsp; &nbsp; return 0;<br />}</p>",<p>Index error</p>,<p>65</p>,<p>68</p>,<p>67</p>,<p>Garbage value</p>,"<p>Since x[2] can only store two digits, the third value becomes inconsequential. As x[2] does not exist, when trying to sum this with ""c"", it results in a garbage value.&nbsp;</p>",Arrays
7397939,13/10/2025 13:34,2.33,4,3,C,4,"<p>int main(void)<br />{<br />int a = 3;<br />int b = 4;<br />Swap(&amp;a, &amp;b);<br />printf(""Result = %d %d\n"", a, b);<br />return 0;<br />}</p>","<p>void Swap(int a, int b)<br />{<br />int temp = a;<br />a = b;<br />b = temp;<br />}</p>","<p>void Swap(int &amp;a, int &amp;b)<br />{<br />int temp = &amp;a;<br />&amp;a = &amp;b;<br />&amp;b = temp;<br />}</p>","<p>void Swap(int *a, int *b)<br />{<br />int temp = *a;<br />*a = *b;<br />*b = temp;<br />}</p>","<p>void Swap(int *a, int *b)<br />{<br />int temp = *a;<br />*b = *a;<br />*b = temp;<br />}</p>",,<p>For this question it is important to take it slow and try to visualize how this problem works. Writing it down may be best.</p>,"pointers, Order of operations"
7397941,13/10/2025 13:36,3.41,37,27,A,5,"<p>What is the output of the following code?&nbsp;</p><p>&nbsp;</p><p>int x, y, z, a, b;</p><p>&nbsp;</p><p>x = 11;<br />y = 14;<br />z = y - x;<br />x = 2*x;<br />a = x - y;<br />b = x + y + z + a;</p><p>&nbsp;</p><p>printf(""The answer is: %d, %d"" , a, b) ;</p>","<p>The answer is: 8, 47</p>","<p>The answer is: 47, 8</p>","<p>The answer is: -3, 25<br /><br /><br /></p>","<p>The answer is: -8, 31</p>","<p>The answer is: 25, -3</p>","<p>Reaching this answer just involves carefully reading through the code and changing the value of the variables in the order each operation appears in the code. It then requires reading how the output is formatted and realising that the value of a is printed before b, making the answer option A rather than option B.</p><p>&nbsp;</p><p>Option C&nbsp; occurs if you do not use the changed value of x (after it is doubled) and instead use its initial value of 11 to work out the values for a and b.&nbsp;</p><p>Option E involves making this mistake, and also involves an incorrectly printing b before a.&nbsp;</p><p>&nbsp;</p><p>Option D occurs if you subtract x from y to get a, rather than subtracting y from x.&nbsp;</p>","printf function, output formatting"
7397945,13/10/2025 13:39,3,7,7,E,5,"<p>What will you get when you run this code?</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>void main() {<br />&nbsp; &nbsp;char sentence[100] = ""Paul Denny is the best!"";<br />&nbsp; &nbsp;int length = strlen(sentence);<br />&nbsp; &nbsp;printf(""%d"", length);<br />}</p>",<p>100</p>,<p>22</p>,<p>23</p>,<p>50 51</p>,<p>An error</p>,"<p>The correct answer is E, an error. This is because the 'strlen' won't work without the '#include &lt;string.h&gt;' in the code.</p>",-
7397954,13/10/2025 13:43,3.64,16,11,D,5,"<p>What is the output of the following code?</p><p>&nbsp;</p><p>#include &lt;stdio.h&gt;</p><p>&nbsp;</p><p>int function(int n) {</p><p>&nbsp; &nbsp;if (n==0) return 1 / n;</p><p>&nbsp; &nbsp;else return n * function(n-1);<br />}</p><p>&nbsp;</p><p>int main(void) {<br />&nbsp; &nbsp;int value = function(5);<br />&nbsp; &nbsp;printf(""%d\n"", value);</p><p>&nbsp; &nbsp;return 0;<br />}</p><p>&nbsp;</p>",<p>120</p>,<p>Infinite Recursion</p>,<p>5</p>,<p>Runtime Error</p>,<p>0</p>,"<p>Once the recursive function reaches its base case n == 0, division by 0 occurs as it attempts to evaluate 1 / n. This results in a runtime error, terminating the program without producing an output, hence the answer is D, Runtime Error.</p>",Recursion
7397956,13/10/2025 13:41,3.7,13,10,B,5,"<p>What gets displayed when this code is run?&nbsp;</p><p><span style=""font-family: 'courier new', courier, monospace;"">#include &lt;stdio.h&gt;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">int main() {</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; int x = 5, y = 2;</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; if (x = y)</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp;printf(""A"");</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; else if (x == y)</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; printf(""B"");</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; &nbsp; else</span><br /><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp; &nbsp; printf(""C"");</span></p><p><span style=""font-family: 'courier new', courier, monospace;"">&nbsp; &nbsp;return 0;</span><br /><span style=""font-family: 'courier new', courier, monospace;"">}</span></p><p><br /><br /></p>",<p>Result = C</p>,<p>Result = A</p>,<p>Result = B</p>,<p>Compiler Error</p>,<p>Result =</p>,"<p>At the start ""Result ="" gets printed. Many people think that the first if statement is a comparison. In the first if statement x = y assigns y&rsquo;s value to x .The expression (x = y) then = 2, which is true as it is non-zero.</p><p>So the first branch runs and prints ""A"". The rest of the else if is never reached making the final output ""Result = A"".&nbsp;</p>","printf function, Order of operations, trick question"
7397959,13/10/2025 13:47,4.25,4,4,A,5,"<p>What would be the output of the following code?</p><p>&nbsp;</p><p>int main() {</p><p>&nbsp; &nbsp;int x = 5;<br />&nbsp; &nbsp;int sum = 0;</p><p>&nbsp;</p><p>&nbsp; &nbsp;while (x &gt; 0) {<br />&nbsp; &nbsp; &nbsp; if (x % 2 == 0) {<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;sum = sum + x;<br />&nbsp; &nbsp; &nbsp; }<br />&nbsp; &nbsp; &nbsp; x--;<br />&nbsp; &nbsp;}</p><p>&nbsp;</p><p>&nbsp; &nbsp;printf(""%d\n"", sum);<br />&nbsp; &nbsp;return 0;<br />}</p>",<p>6</p>,<p>&nbsp;5</p>,<p>2</p>,<p>4</p>,<p>15</p>,<p>the line sum = sum + x only runs when x/2 = 0 meaning only when x is equal to an even number.</p><p>x decreases from 5 to 1 therefore this line will only run when x = 2 and 4</p>,Loops
